REGION,JurisdictionName,JurisdictionCode,SubjurisdictionName,SubjurisdictionCode,SEC_NAME,SectorName,SectorCode,REEF_ZONE,DEPTH_BIN,StrataName,StrataCode
SAMOA,American Samoa,SAMOA,Ofu and Olosega,OFU,Ofu & Olosega,Ofu and Olosega,OFU,Forereef,Deep,Forereef Deep,FRF_D
SAMOA,American Samoa,SAMOA,Ofu and Olosega,OFU,Ofu & Olosega,Ofu and Olosega,OFU,Forereef,Mid,Forereef Mid,FRF_M
SAMOA,American Samoa,SAMOA,Ofu and Olosega,OFU,Ofu & Olosega,Ofu and Olosega,OFU,Forereef,Shallow,Forereef Shallow,FRF_S
SAMOA,American Samoa,SAMOA,Rose Atoll,ROS,ROS,Rose Atoll,ROS,Backreef,Mid,Backreef Mid,BRF_M
SAMOA,American Samoa,SAMOA,Rose Atoll,ROS,ROS,Rose Atoll,ROS,Backreef,Shallow,Backreef Shallow,BRF_S
SAMOA,American Samoa,SAMOA,Rose Atoll,ROS,ROS,Rose Atoll,ROS,Lagoon,Deep,Lagoon Deep,LAG_D
SAMOA,American Samoa,SAMOA,Rose Atoll,ROS,ROS,Rose Atoll,ROS,Lagoon,Mid,Lagoon Mid,LAG_M
SAMOA,American Samoa,SAMOA,Rose Atoll,ROS,ROS,Rose Atoll,ROS,Lagoon,Shallow,Lagoon Shallow,LAG_S
SAMOA,American Samoa,SAMOA,Rose Atoll,ROS,ROS,Rose Atoll,ROS,Forereef,Deep,Forereef Deep,FRF_D
SAMOA,American Samoa,SAMOA,Rose Atoll,ROS,ROS,Rose Atoll,ROS,Forereef,Mid,Forereef Mid,FRF_M
SAMOA,American Samoa,SAMOA,Rose Atoll,ROS,ROS,Rose Atoll,ROS,Forereef,Shallow,Forereef Shallow,FRF_S
SAMOA,American Samoa,SAMOA,Swains,SWA,SWA_OPEN,Open,SWA_open,Forereef,Deep,Forereef Deep,FRF_D
SAMOA,American Samoa,SAMOA,Swains,SWA,SWA_OPEN,Open,SWA_open,Forereef,Mid,Forereef Mid,FRF_M
SAMOA,American Samoa,SAMOA,Swains,SWA,SWA_OPEN,Open,SWA_open,Forereef,Shallow,Forereef Shallow,FRF_S
SAMOA,American Samoa,SAMOA,Swains,SWA,SWA_SANCTUARY,Sanctuary,SWA_sanctuary,Forereef,Deep,Forereef Deep,FRF_D
SAMOA,American Samoa,SAMOA,Swains,SWA,SWA_SANCTUARY,Sanctuary,SWA_sanctuary,Forereef,Mid,Forereef Mid,FRF_M
SAMOA,American Samoa,SAMOA,Swains,SWA,SWA_SANCTUARY,Sanctuary,SWA_sanctuary,Forereef,Shallow,Forereef Shallow,FRF_S
SAMOA,American Samoa,SAMOA,Tau,TAU,TAU_OPEN,Open,TAU_open,Forereef,Deep,Forereef Deep,FRF_D
SAMOA,American Samoa,SAMOA,Tau,TAU,TAU_OPEN,Open,TAU_open,Forereef,Mid,Forereef Mid,FRF_M
SAMOA,American Samoa,SAMOA,Tau,TAU,TAU_OPEN,Open,TAU_open,Forereef,Shallow,Forereef Shallow,FRF_S
SAMOA,American Samoa,SAMOA,Tau,TAU,TAU_SANCTUARY,Sanctuary,TAU_sanctuary,Forereef,Deep,Forereef Deep,FRF_D
SAMOA,American Samoa,SAMOA,Tau,TAU,TAU_SANCTUARY,Sanctuary,TAU_sanctuary,Forereef,Mid,Forereef Mid,FRF_M
SAMOA,American Samoa,SAMOA,Tau,TAU,TAU_SANCTUARY,Sanctuary,TAU_sanctuary,Forereef,Shallow,Forereef Shallow,FRF_S
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_AUNUU_A,Aunuu A,TUT_AunuuA,Forereef,Deep,Forereef Deep,FRF_D
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_AUNUU_A,Aunuu A,TUT_AunuuA,Forereef,Mid,Forereef Mid,FRF_M
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_AUNUU_A,Aunuu A,TUT_AunuuA,Forereef,Shallow,Forereef Shallow,FRF_S
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_AUNUU_B,Aunuu B,TUT_AunuuB,Forereef,Deep,Forereef Deep,FRF_D
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_AUNUU_B,Aunuu B,TUT_AunuuB,Forereef,Mid,Forereef Mid,FRF_M
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_AUNUU_B,Aunuu B,TUT_AunuuB,Forereef,Shallow,Forereef Shallow,FRF_S
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_FAGALUA,Fagalua,TUT_Fagalua,Forereef,Deep,Forereef Deep,FRF_D
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_FAGALUA,Fagalua,TUT_Fagalua,Forereef,Mid,Forereef Mid,FRF_M
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_FAGALUA,Fagalua,TUT_Fagalua,Forereef,Shallow,Forereef Shallow,FRF_S
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_FAGATELE,Fagatele,TUT_Fagatele,Forereef,Deep,Forereef Deep,FRF_D
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_FAGATELE,Fagatele,TUT_Fagatele,Forereef,Mid,Forereef Mid,FRF_M
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_FAGATELE,Fagatele,TUT_Fagatele,Forereef,Shallow,Forereef Shallow,FRF_S
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_NE_OPEN,Northeast Open,TUT_NEopen,Forereef,Deep,Forereef Deep,FRF_D
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_NE_OPEN,Northeast Open,TUT_NEopen,Forereef,Mid,Forereef Mid,FRF_M
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_NE_OPEN,Northeast Open,TUT_NEopen,Forereef,Shallow,Forereef Shallow,FRF_S
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_NW_OPEN,Northwest Open,TUT_NWopen,Forereef,Deep,Forereef Deep,FRF_D
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_NW_OPEN,Northwest Open,TUT_NWopen,Forereef,Mid,Forereef Mid,FRF_M
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_NW_OPEN,Northwest Open,TUT_NWopen,Forereef,Shallow,Forereef Shallow,FRF_S
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_PAGOPAGO,Pago Pago,TUT_PagoPago,Forereef,Deep,Forereef Deep,FRF_D
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_PAGOPAGO,Pago Pago,TUT_PagoPago,Forereef,Mid,Forereef Mid,FRF_M
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_PAGOPAGO,Pago Pago,TUT_PagoPago,Forereef,Shallow,Forereef Shallow,FRF_S
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_SE_OPEN,Southeast Open,TUT_SEopen,Forereef,Deep,Forereef Deep,FRF_D
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_SE_OPEN,Southeast Open,TUT_SEopen,Forereef,Mid,Forereef Mid,FRF_M
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_SE_OPEN,Southeast Open,TUT_SEopen,Forereef,Shallow,Forereef Shallow,FRF_S
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_SW_OPEN,Southwest Open,TUT_SWopen,Forereef,Deep,Forereef Deep,FRF_D
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_SW_OPEN,Southwest Open,TUT_SWopen,Forereef,Mid,Forereef Mid,FRF_M
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_SW_OPEN,Southwest Open,TUT_SWopen,Forereef,Shallow,Forereef Shallow,FRF_S
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Agrihan,AGR,Agrihan,Agrihan,AGR,Forereef,Deep,Forereef Deep,FRF_D
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Agrihan,AGR,Agrihan,Agrihan,AGR,Forereef,Mid,Forereef Mid,FRF_M
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Agrihan,AGR,Agrihan,Agrihan,AGR,Forereef,Shallow,Forereef Shallow,FRF_S
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Aguijan,AGU,Aguijan,Aguijan,AGU,Forereef,Deep,Forereef Deep,FRF_D
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Aguijan,AGU,Aguijan,Aguijan,AGU,Forereef,Mid,Forereef Mid,FRF_M
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Aguijan,AGU,Aguijan,Aguijan,AGU,Forereef,Shallow,Forereef Shallow,FRF_S
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,"Sarigan, Guguan and Alamagan",SGA,Alamagan,Alamagan,Alamagan,Forereef,Deep,Forereef Deep,FRF_D
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,"Sarigan, Guguan and Alamagan",SGA,Alamagan,Alamagan,Alamagan,Forereef,Mid,Forereef Mid,FRF_M
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,"Sarigan, Guguan and Alamagan",SGA,Alamagan,Alamagan,Alamagan,Forereef,Shallow,Forereef Shallow,FRF_S
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Asuncion,ASC,Asuncion,Asuncion,ASC,Forereef,Deep,Forereef Deep,FRF_D
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Asuncion,ASC,Asuncion,Asuncion,ASC,Forereef,Mid,Forereef Mid,FRF_M
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Asuncion,ASC,Asuncion,Asuncion,ASC,Forereef,Shallow,Forereef Shallow,FRF_S
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Farallon de Pajaros,FDP,Farallon de Pajaros,Farallon de Pajaros,FDP,Forereef,Deep,Forereef Deep,FRF_D
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Farallon de Pajaros,FDP,Farallon de Pajaros,Farallon de Pajaros,FDP,Forereef,Mid,Forereef Mid,FRF_M
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Farallon de Pajaros,FDP,Farallon de Pajaros,Farallon de Pajaros,FDP,Forereef,Shallow,Forereef Shallow,FRF_S
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,"Sarigan, Guguan and Alamagan",SGA,Guguan,Guguan,Guguan,Forereef,Deep,Forereef Deep,FRF_D
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,"Sarigan, Guguan and Alamagan",SGA,Guguan,Guguan,Guguan,Forereef,Mid,Forereef Mid,FRF_M
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,"Sarigan, Guguan and Alamagan",SGA,Guguan,Guguan,Guguan,Forereef,Shallow,Forereef Shallow,FRF_S
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Maug,MAU,Maug,Maug,MAU,Forereef,Deep,Forereef Deep,FRF_D
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Maug,MAU,Maug,Maug,MAU,Forereef,Mid,Forereef Mid,FRF_M
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Maug,MAU,Maug,Maug,MAU,Forereef,Shallow,Forereef Shallow,FRF_S
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Pagan,PAG,Pagan,Pagan,PAG,Forereef,Deep,Forereef Deep,FRF_D
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Pagan,PAG,Pagan,Pagan,PAG,Forereef,Mid,Forereef Mid,FRF_M
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Pagan,PAG,Pagan,Pagan,PAG,Forereef,Shallow,Forereef Shallow,FRF_S
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Rota,ROT,Rota,Rota,ROT,Forereef,Deep,Forereef Deep,FRF_D
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Rota,ROT,Rota,Rota,ROT,Forereef,Mid,Forereef Mid,FRF_M
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Rota,ROT,Rota,Rota,ROT,Forereef,Shallow,Forereef Shallow,FRF_S
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Saipan,SAI,Saipan,Saipan,SAI,Backreef,Deep,Backreef Deep,BRF_D
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Saipan,SAI,Saipan,Saipan,SAI,Backreef,Mid,Backreef Mid,BRF_M
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Saipan,SAI,Saipan,Saipan,SAI,Backreef,Shallow,Backreef Shallow,BRF_S
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Saipan,SAI,Saipan,Saipan,SAI,Forereef,Deep,Forereef Deep,FRF_D
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Saipan,SAI,Saipan,Saipan,SAI,Forereef,Mid,Forereef Mid,FRF_M
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Saipan,SAI,Saipan,Saipan,SAI,Forereef,Shallow,Forereef Shallow,FRF_S
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Saipan,SAI,Saipan,Saipan,SAI,Lagoon,Mid,Lagoon Mid,LAG_M
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Saipan,SAI,Saipan,Saipan,SAI,Lagoon,Shallow,Lagoon Shallow,LAG_S
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,"Sarigan, Guguan and Alamagan",SGA,Sarigan,Sarigan,Sarigan,Forereef,Deep,Forereef Deep,FRF_D
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,"Sarigan, Guguan and Alamagan",SGA,Sarigan,Sarigan,Sarigan,Forereef,Mid,Forereef Mid,FRF_M
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,"Sarigan, Guguan and Alamagan",SGA,Sarigan,Sarigan,Sarigan,Forereef,Shallow,Forereef Shallow,FRF_S
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Tinian,TIN,Tinian,Tinian,TIN,Forereef,Deep,Forereef Deep,FRF_D
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Tinian,TIN,Tinian,Tinian,TIN,Forereef,Mid,Forereef Mid,FRF_M
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Tinian,TIN,Tinian,Tinian,TIN,Forereef,Shallow,Forereef Shallow,FRF_S
MARIAN,Guam,GUA,Guam,GUA,GUA_ACHANG,Achang,GUA_Achang,Forereef,Deep,Forereef Deep,FRF_D
MARIAN,Guam,GUA,Guam,GUA,GUA_ACHANG,Achang,GUA_Achang,Forereef,Mid,Forereef Mid,FRF_M
MARIAN,Guam,GUA,Guam,GUA,GUA_ACHANG,Achang,GUA_Achang,Forereef,Shallow,Forereef Shallow,FRF_S
MARIAN,Guam,GUA,Guam,GUA,GUA_EAST_OPEN,East Open,GUA_Eopen,Forereef,Deep,Forereef Deep,FRF_D
MARIAN,Guam,GUA,Guam,GUA,GUA_EAST_OPEN,East Open,GUA_Eopen,Forereef,Mid,Forereef Mid,FRF_M
MARIAN,Guam,GUA,Guam,GUA,GUA_EAST_OPEN,East Open,GUA_Eopen,Forereef,Shallow,Forereef Shallow,FRF_S
MARIAN,Guam,GUA,Guam,GUA,GUA_PATI_POINT,Pati Point,GUA_PatiPoint,Forereef,Deep,Forereef Deep,FRF_D
MARIAN,Guam,GUA,Guam,GUA,GUA_PATI_POINT,Pati Point,GUA_PatiPoint,Forereef,Mid,Forereef Mid,FRF_M
MARIAN,Guam,GUA,Guam,GUA,GUA_PATI_POINT,Pati Point,GUA_PatiPoint,Forereef,Shallow,Forereef Shallow,FRF_S
MARIAN,Guam,GUA,Guam,GUA,GUA_PITI_BOMB,Piti Bomb,GUA_PitiBomb,Forereef,Deep,Forereef Deep,FRF_D
MARIAN,Guam,GUA,Guam,GUA,GUA_PITI_BOMB,Piti Bomb,GUA_PitiBomb,Forereef,Mid,Forereef Mid,FRF_M
MARIAN,Guam,GUA,Guam,GUA,GUA_PITI_BOMB,Piti Bomb,GUA_PitiBomb,Forereef,Shallow,Forereef Shallow,FRF_S
MARIAN,Guam,GUA,Guam,GUA,GUA_TUMON,Tumon Bay,GUA_TumonBay,Forereef,Deep,Forereef Deep,FRF_D
MARIAN,Guam,GUA,Guam,GUA,GUA_TUMON,Tumon Bay,GUA_TumonBay,Forereef,Mid,Forereef Mid,FRF_M
MARIAN,Guam,GUA,Guam,GUA,GUA_TUMON,Tumon Bay,GUA_TumonBay,Forereef,Shallow,Forereef Shallow,FRF_S
MARIAN,Guam,GUA,Guam,GUA,GUA_WEST_OPEN,West Open,GUA_Wopen,Forereef,Deep,Forereef Deep,FRF_D
MARIAN,Guam,GUA,Guam,GUA,GUA_WEST_OPEN,West Open,GUA_Wopen,Forereef,Mid,Forereef Mid,FRF_M
MARIAN,Guam,GUA,Guam,GUA,GUA_WEST_OPEN,West Open,GUA_Wopen,Forereef,Shallow,Forereef Shallow,FRF_S
MHI,Main Hawaiian Islands,MHI,Hawaii,HAW,HAW_HAMAKUA,Hamakua,HAW_Hamakua,Forereef,Deep,Forereef Deep,FRF_D
MHI,Main Hawaiian Islands,MHI,Hawaii,HAW,HAW_HAMAKUA,Hamakua,HAW_Hamakua,Forereef,Mid,Forereef Mid,FRF_M
MHI,Main Hawaiian Islands,MHI,Hawaii,HAW,HAW_HAMAKUA,Hamakua,HAW_Hamakua,Forereef,Shallow,Forereef Shallow,FRF_S
MHI,Main Hawaiian Islands,MHI,Hawaii,HAW,HAW_KONA,Kona,HAW_Kona,Forereef,Deep,Forereef Deep,FRF_D
MHI,Main Hawaiian Islands,MHI,Hawaii,HAW,HAW_KONA,Kona,HAW_Kona,Forereef,Mid,Forereef Mid,FRF_M
MHI,Main Hawaiian Islands,MHI,Hawaii,HAW,HAW_KONA,Kona,HAW_Kona,Forereef,Shallow,Forereef Shallow,FRF_S
MHI,Main Hawaiian Islands,MHI,Hawaii,HAW,HAW_PUNA,Puna,HAW_Puna,Forereef,Deep,Forereef Deep,FRF_D
MHI,Main Hawaiian Islands,MHI,Hawaii,HAW,HAW_PUNA,Puna,HAW_Puna,Forereef,Mid,Forereef Mid,FRF_M
MHI,Main Hawaiian Islands,MHI,Hawaii,HAW,HAW_PUNA,Puna,HAW_Puna,Forereef,Shallow,Forereef Shallow,FRF_S
MHI,Main Hawaiian Islands,MHI,Hawaii,HAW,HAW_SE,Southeast,HAW_SE,Forereef,Deep,Forereef Deep,FRF_D
MHI,Main Hawaiian Islands,MHI,Hawaii,HAW,HAW_SE,Southeast,HAW_SE,Forereef,Mid,Forereef Mid,FRF_M
MHI,Main Hawaiian Islands,MHI,Hawaii,HAW,HAW_SE,Southeast,HAW_SE,Forereef,Shallow,Forereef Shallow,FRF_S
MHI,Main Hawaiian Islands,MHI,Kahoolawe,KAH,KAH_NORTH,North,KAH_N,Forereef,Deep,Forereef Deep,FRF_D
MHI,Main Hawaiian Islands,MHI,Kahoolawe,KAH,KAH_NORTH,North,KAH_N,Forereef,Mid,Forereef Mid,FRF_M
MHI,Main Hawaiian Islands,MHI,Kahoolawe,KAH,KAH_NORTH,North,KAH_N,Forereef,Shallow,Forereef Shallow,FRF_S
MHI,Main Hawaiian Islands,MHI,Kahoolawe,KAH,KAH_SOUTH,South,KAH_S,Forereef,Deep,Forereef Deep,FRF_D
MHI,Main Hawaiian Islands,MHI,Kahoolawe,KAH,KAH_SOUTH,South,KAH_S,Forereef,Mid,Forereef Mid,FRF_M
MHI,Main Hawaiian Islands,MHI,Kahoolawe,KAH,KAH_SOUTH,South,KAH_S,Forereef,Shallow,Forereef Shallow,FRF_S
MHI,Main Hawaiian Islands,MHI,Kauai,KAU,KAU_EAST,East,KAU_E,Forereef,Deep,Forereef Deep,FRF_D
MHI,Main Hawaiian Islands,MHI,Kauai,KAU,KAU_EAST,East,KAU_E,Forereef,Mid,Forereef Mid,FRF_M
MHI,Main Hawaiian Islands,MHI,Kauai,KAU,KAU_EAST,East,KAU_E,Forereef,Shallow,Forereef Shallow,FRF_S
MHI,Main Hawaiian Islands,MHI,Kauai,KAU,KAU_NAPALI,Napali,KAU_Napali,Forereef,Deep,Forereef Deep,FRF_D
MHI,Main Hawaiian Islands,MHI,Kauai,KAU,KAU_NAPALI,Napali,KAU_Napali,Forereef,Mid,Forereef Mid,FRF_M
MHI,Main Hawaiian Islands,MHI,Kauai,KAU,KAU_NAPALI,Napali,KAU_Napali,Forereef,Shallow,Forereef Shallow,FRF_S
MHI,Main Hawaiian Islands,MHI,Lanai,LAN,LAN_NORTH,North,LAN_N,Forereef,Deep,Forereef Deep,FRF_D
