stratum_id,stratum_name,sector_id,reef_id,depth_bin,area_km2,island,region
1,DEEP_HAW_HAMAK_FOREREEF,HAW_HAMAK,FOREREEF,DEEP,17.6,HAW,MHI
5,MID_HAW_HAMAK_FOREREEF,HAW_HAMAK,FOREREEF,MIDD,19.19,HAW,MHI
9,SHALLOW_HAW_HAMAK_FOREREEF,HAW_HAMAK,FOREREEF,SHAL,6.22,HAW,MHI
2,DEEP_HAW_KONA_FOREREEF,HAW_KONA,FOREREEF,DEEP,16.17,HAW,MHI
6,MID_HAW_KONA_FOREREEF,HAW_KONA,FOREREEF,MIDD,23.28,HAW,MHI
10,SHALLOW_HAW_KONA_FOREREEF,HAW_KONA,FOREREEF,SHAL,12.04,HAW,MHI
3,DEEP_HAW_PUNA_FOREREEF,HAW_PUNA,FOREREEF,DEEP,14.29,HAW,MHI
7,MID_HAW_PUNA_FOREREEF,HAW_PUNA,FOREREEF,MIDD,15.8,HAW,MHI
11,SHALLOW_HAW_PUNA_FOREREEF,HAW_PUNA,FOREREEF,SHAL,3.79,HAW,MHI
12,SHALLOW_HAW_SE_FOREREEF,HAW_SE,FOREREEF,SHAL,3.5,HAW,MHI
8,MID_HAW_SE_FOREREEF,HAW_SE,FOREREEF,MIDD,7.2,HAW,MHI
4,DEEP_HAW_SE_FOREREEF,HAW_SE,FOREREEF,DEEP,6.58,HAW,MHI
1,DEEP_KAH_NORTH_FOREREEF,KAH_NORTH,FOREREEF,DEEP,3.98,KAH,MHI
3,MID_KAH_NORTH_FOREREEF,KAH_NORTH,FOREREEF,MIDD,4.12,KAH,MHI
5,SHALLOW_KAH_NORTH_FOREREEF,KAH_NORTH,FOREREEF,SHAL,1.55,KAH,MHI
2,DEEP_KAH_SOUTH_FOREREEF,KAH_SOUTH,FOREREEF,DEEP,4.05,KAH,MHI
4,MID_KAH_SOUTH_FOREREEF,KAH_SOUTH,FOREREEF,MIDD,4.09,KAH,MHI
6,SHALLOW_KAH_SOUTH_FOREREEF,KAH_SOUTH,FOREREEF,SHAL,0.84,KAH,MHI
1,DEEP_KAL_FOREREEF,KAL,FOREREEF,DEEP,0.47,KAL,MHI
2,MID_KAL_FOREREEF,KAL,FOREREEF,MIDD,0.38,KAL,MHI
3,SHALLOW_KAL_FOREREEF,KAL,FOREREEF,SHAL,0.2,KAL,MHI
1,DEEP_KAU_EAST_FOREREEF,KAU_EAST,FOREREEF,DEEP,35.66,KAU,MHI
3,MID_KAU_EAST_FOREREEF,KAU_EAST,FOREREEF,MIDD,56.24,KAU,MHI
2,DEEP_KAU_NAPALI_FOREREEF,KAU_NAPALI,FOREREEF,DEEP,45.35,KAU,MHI
5,SHALLOW_KAU_EAST_FOREREEF,KAU_EAST,FOREREEF,SHAL,19.81,KAU,MHI
4,MID_KAU_NAPALI_FOREREEF,KAU_NAPALI,FOREREEF,MIDD,19.18,KAU,MHI
6,SHALLOW_KAU_NAPALI_FOREREEF,KAU_NAPALI,FOREREEF,SHAL,4.05,KAU,MHI
1,DEEP_LAN_NORTH_FOREREEF,LAN_NORTH,FOREREEF,DEEP,6.69,LAN,MHI
3,MID_LAN_NORTH_FOREREEF,LAN_NORTH,FOREREEF,MIDD,6.61,LAN,MHI
5,SHALLOW_LAN_NORTH_FOREREEF,LAN_NORTH,FOREREEF,SHAL,2.8,LAN,MHI
2,DEEP_LAN_SOUTH_FOREREEF,LAN_SOUTH,FOREREEF,DEEP,5.62,LAN,MHI
4,MID_LAN_SOUTH_FOREREEF,LAN_SOUTH,FOREREEF,MIDD,6.97,LAN,MHI
6,SHALLOW_LAN_SOUTH_FOREREEF,LAN_SOUTH,FOREREEF,SHAL,3.77,LAN,MHI
7,DEEP_MAI_NW_FOREREEF,MAI_NW,FOREREEF,DEEP,3.59,MAI,MHI
15,MID_MAI_NW_FOREREEF,MAI_NW,FOREREEF,MIDD,3.23,MAI,MHI
22,SHALLOW_MAI_NW_FOREREEF,MAI_NW,FOREREEF,SHAL,1.26,MAI,MHI
4,DEEP_MAI_LAHAINA_FOREREEF,MAI_LAHAINA,FOREREEF,DEEP,3.48,MAI,MHI
12,MID_MAI_LAHAINA_FOREREEF,MAI_LAHAINA,FOREREEF,MIDD,5.4,MAI,MHI
20,SHALLOW_MAI_LAHAINA_FOREREEF,MAI_LAHAINA,FOREREEF,SHAL,2.93,MAI,MHI
6,DEEP_MAI_NE_FOREREEF,MAI_NE,FOREREEF,DEEP,10.11,MAI,MHI
14,MID_MAI_NE_FOREREEF,MAI_NE,FOREREEF,MIDD,9.7,MAI,MHI
2,DEEP_MAI_KAHULUI_FOREREEF,MAI_KAHULUI,FOREREEF,DEEP,5.09,MAI,MHI
21,SHALLOW_MAI_NE_FOREREEF,MAI_NE,FOREREEF,SHAL,3.41,MAI,MHI
10,MID_MAI_KAHULUI_FOREREEF,MAI_KAHULUI,FOREREEF,MIDD,8.5,MAI,MHI
18,SHALLOW_MAI_KAHULUI_FOREREEF,MAI_KAHULUI,FOREREEF,SHAL,4.27,MAI,MHI
19,SHALLOW_MAI_KIHEI_FOREREEF,MAI_KIHEI,FOREREEF,SHAL,2.76,MAI,MHI
11,MID_MAI_KIHEI_FOREREEF,MAI_KIHEI,FOREREEF,MIDD,6.95,MAI,MHI
3,DEEP_MAI_KIHEI_FOREREEF,MAI_KIHEI,FOREREEF,DEEP,5.12,MAI,MHI
9,MID_MAI_HANA_FOREREEF,MAI_HANA,FOREREEF,MIDD,3.11,MAI,MHI
1,DEEP_MAI_HANA_FOREREEF,MAI_HANA,FOREREEF,DEEP,2.86,MAI,MHI
17,SHALLOW_MAI_HANA_FOREREEF,MAI_HANA,FOREREEF,SHAL,1.63,MAI,MHI
23,SHALLOW_MAI_SE_FOREREEF,MAI_SE,FOREREEF,SHAL,3.04,MAI,MHI
16,MID_MAI_SE_FOREREEF,MAI_SE,FOREREEF,MIDD,8.29,MAI,MHI
8,DEEP_MAI_SE_FOREREEF,MAI_SE,FOREREEF,DEEP,10.29,MAI,MHI
5,DEEP_MAI_MOLOKINI_FOREREEF,MAI_MOLOKINI,FOREREEF,DEEP,0.11,MAI,MHI
13,MID_MAI_MOLOKINI_FOREREEF,MAI_MOLOKINI,FOREREEF,MIDD,0.09,MAI,MHI
1,DEEP_MOL_NW_FOREREEF,MOL_NW,FOREREEF,DEEP,8.51,MOL,MHI
4,DEEP_MOL_WEST_FOREREEF,MOL_WEST,FOREREEF,DEEP,18.74,MOL,MHI
5,MID_MOL_NW_FOREREEF,MOL_NW,FOREREEF,MIDD,8.55,MOL,MHI
8,MID_MOL_WEST_FOREREEF,MOL_WEST,FOREREEF,MIDD,13.34,MOL,MHI
9,SHALLOW_MOL_NW_FOREREEF,MOL_NW,FOREREEF,SHAL,2.85,MOL,MHI
12,SHALLOW_MOL_WEST_FOREREEF,MOL_WEST,FOREREEF,SHAL,2.84,MOL,MHI
2,DEEP_MOL_PALI_FOREREEF,MOL_PALI,FOREREEF,DEEP,8.1,MOL,MHI
6,MID_MOL_PALI_FOREREEF,MOL_PALI,FOREREEF,MIDD,7.88,MOL,MHI
10,SHALLOW_MOL_PALI_FOREREEF,MOL_PALI,FOREREEF,SHAL,3.17,MOL,MHI
7,MID_MOL_SOUTH_FOREREEF,MOL_SOUTH,FOREREEF,MIDD,15.49,MOL,MHI
3,DEEP_MOL_SOUTH_FOREREEF,MOL_SOUTH,FOREREEF,DEEP,9.44,MOL,MHI
11,SHALLOW_MOL_SOUTH_FOREREEF,MOL_SOUTH,FOREREEF,SHAL,14.25,MOL,MHI
2,DEEP_NII_LEHUA_FOREREEF,NII_LEHUA,FOREREEF,DEEP,2.54,NII,MHI
5,MID_NII_LEHUA_FOREREEF,NII_LEHUA,FOREREEF,MIDD,6.08,NII,MHI
8,SHALLOW_NII_LEHUA_FOREREEF,NII_LEHUA,FOREREEF,SHAL,2.47,NII,MHI
3,DEEP_NII_WEST_FOREREEF,NII_WEST,FOREREEF,DEEP,16.54,NII,MHI
6,MID_NII_WEST_FOREREEF,NII_WEST,FOREREEF,MIDD,30.48,NII,MHI
9,SHALLOW_NII_WEST_FOREREEF,NII_WEST,FOREREEF,SHAL,5.89,NII,MHI
7,SHALLOW_NII_EAST_FOREREEF,NII_EAST,FOREREEF,SHAL,4.22,NII,MHI
4,MID_NII_EAST_FOREREEF,NII_EAST,FOREREEF,MIDD,9.16,NII,MHI
1,DEEP_NII_EAST_FOREREEF,NII_EAST,FOREREEF,DEEP,13.54,NII,MHI
3,DEEP_OAH_NE_FOREREEF,OAH_NE,FOREREEF,DEEP,6.36,OAH,MHI
9,MID_OAH_NE_FOREREEF,OAH_NE,FOREREEF,MIDD,32.74,OAH,MHI
4,DEEP_OAH_NORTH_FOREREEF,OAH_NORTH,FOREREEF,DEEP,9.17,OAH,MHI
15,SHALLOW_OAH_NE_FOREREEF,OAH_NE,FOREREEF,SHAL,14.87,OAH,MHI
10,MID_OAH_NORTH_FOREREEF,OAH_NORTH,FOREREEF,MIDD,13.61,OAH,MHI
16,SHALLOW_OAH_NORTH_FOREREEF,OAH_NORTH,FOREREEF,SHAL,8.06,OAH,MHI
2,DEEP_OAH_KAENA_FOREREEF,OAH_KAENA,FOREREEF,DEEP,8.02,OAH,MHI
8,MID_OAH_KAENA_FOREREEF,OAH_KAENA,FOREREEF,MIDD,7.55,OAH,MHI
14,SHALLOW_OAH_KAENA_FOREREEF,OAH_KAENA,FOREREEF,SHAL,2.9,OAH,MHI
12,MID_OAH_SOUTH_FOREREEF,OAH_SOUTH,FOREREEF,MIDD,45.11,OAH,MHI
18,SHALLOW_OAH_SOUTH_FOREREEF,OAH_SOUTH,FOREREEF,SHAL,32.82,OAH,MHI
6,DEEP_OAH_SOUTH_FOREREEF,OAH_SOUTH,FOREREEF,DEEP,16.19,OAH,MHI
1,DEEP_OAH_EAST_FOREREEF,OAH_EAST,FOREREEF,DEEP,10.98,OAH,MHI
7,MID_OAH_EAST_FOREREEF,OAH_EAST,FOREREEF,MIDD,17.85,OAH,MHI
13,SHALLOW_OAH_EAST_FOREREEF,OAH_EAST,FOREREEF,SHAL,2.78,OAH,MHI
17,SHALLOW_OAH_PEARL_FOREREEF,OAH_PEARL,FOREREEF,SHAL,0.44,OAH,MHI
11,MID_OAH_PEARL_FOREREEF,OAH_PEARL,FOREREEF,MIDD,0.02,OAH,MHI
5,DEEP_OAH_PEARL_FOREREEF,OAH_PEARL,FOREREEF,DEEP,0,OAH,MHI
